track_name,artists,track_id
Not Over You,['Gavin DeGraw'],6j7hih15xG2cdYwIJnQXsq
Addicted To Love,"['Robert Palmer', ""Eric 'ET' Thorngren""]",5izGeTxueiFX1UPFGohY9w
Simply Irresistible,['Robert Palmer'],7mmhMfqs3knRMMlvnMPTHn
Enjoy the Silence,['Depeche Mode'],0yp3TvJNlG50Q4tAHWNCRm
Super Duper Love,['Joss Stone'],30yn7KuCLbXGCXxjsB0C8K
Free Me,['Joss Stone'],2osA5KIMQLLaNLHiuusgGy
Some Like It Hot - 2005 Remaster,['The Power Station'],3QyxB6fNUFNSLyjiwkycOY
Every Kinda People,['Robert Palmer'],1aposnRI7uduQSie0rwNYV
Is Everybody Going Crazy?,['Nothing But Thieves'],75yY1Ghs6E32WC4kSikXRJ
Slow Hands,['Niall Horan'],2cOUlop2ZakjOKe4WinesN
Hot Water,['Level 42'],6JCAjz8BprJ8uW6Vlavby5
Say What You Want,['Texas'],6h6Ccbgvhibl2XQ0SQNR70
Rolling in the Deep,['Adele'],4OSBTYWVwsQhGLF9NHvIbR
Take on Me,['a-ha'],2WfaOiMkCvy7F5fcp2zZ8L
The Sun Always Shines on T.V.,['a-ha'],0HoaLXRp7jJtdQFunUyUGc
Ironic - 2015 Remaster,['Alanis Morissette'],1d6KS9GH06JAd19uiBy9IE
Sirius,['The Alan Parsons Project'],4OV0sRTFrZLXaZZ1sS9hLn
Trouble in Paradise,['Al Jarreau'],3b9SxtCRgPFPtIGpv1qQ1t
Black and Blues,['Al Jarreau'],2llASe9NJTAnxIPOit5Y0C
Birmingham,['Amanda Marshall'],0HrIhgbIU8KFuvoQV58CO1
Freak of Nature,['Anastacia'],7zClWP2Dn0zVSfk0mRpKjp
Wake Me Up,['Avicii'],0nrRP2bk19rLc0orkWPQk2
Waiting For Love,['Avicii'],2P4OICZRVAQcYAV2JReRfj
Army Of Me,['Björk'],5zRuPOBoe38AjACFMsxkof
Human Behaviour,['Björk'],6Kz3o55LxMA11GbvFXHFtX
Zoutelande (feat. Geike),"['BLØF', 'Geike']",7MOX3ibncypw3xGb4HZVFA
Livin' On A Prayer,['Bon Jovi'],37ZJ0p5Jm13JPevGcx4SkF
Kiss & Tell,['Bryan Ferry'],6nu9dBmmN5BMa5KiQXx5v9
